,국적(지역)별(1),성별(1),variable,value
57,총계,여자,2013.2,378
58,총계,제3의성,2013.2,-
59,아시아주계,계,2013.2,-
60,아시아주계,남자,2013.2,256
61,아시아주계,여자,2013.2,160
62,북아메리카주계,계,2013.2,-
63,북아메리카주계,남자,2013.2,182
64,북아메리카주계,여자,2013.2,108
65,남아메리카주계,계,2013.2,-
66,남아메리카주계,남자,2013.2,11
67,남아메리카주계,여자,2013.2,6
68,유럽주계,계,2013.2,-
69,유럽주계,남자,2013.2,84
70,유럽주계,여자,2013.2,75
71,오세아니아주계,계,2013.2,-
72,오세아니아주계,남자,2013.2,7
73,오세아니아주계,여자,2013.2,2
74,오세아니아주계,제3의성,2013.2,-
75,아프리카주계,계,2013.2,-
76,아프리카주계,남자,2013.2,49
77,아프리카주계,여자,2013.2,24
78,기타계,계,2013.2,-
79,기타계,남자,2013.2,3
80,기타계,여자,2013.2,3
81,국적(지역)별(1),성별(1),2013.3,사증면제(B-1)
82,총계,계,2013.3,47890
83,총계,남자,2013.3,24280
84,총계,여자,2013.3,23610
85,총계,제3의성,2013.3,-
86,아시아주계,계,2013.3,-
87,아시아주계,남자,2013.3,19032
88,아시아주계,여자,2013.3,20081
89,북아메리카주계,계,2013.3,-
90,북아메리카주계,남자,2013.3,101
91,북아메리카주계,여자,2013.3,85
92,남아메리카주계,계,2013.3,-
93,남아메리카주계,남자,2013.3,708
94,남아메리카주계,여자,2013.3,548
95,유럽주계,계,2013.3,-
96,유럽주계,남자,2013.3,3542
97,유럽주계,여자,2013.3,2220
98,오세아니아주계,계,2013.3,-
99,오세아니아주계,남자,2013.3,700
100,오세아니아주계,여자,2013.3,628
101,오세아니아주계,제3의성,2013.3,-
102,아프리카주계,계,2013.3,-
103,아프리카주계,남자,2013.3,197
104,아프리카주계,여자,2013.3,48
105,기타계,계,2013.3,-
106,기타계,남자,2013.3,0
107,기타계,여자,2013.3,0
108,국적(지역)별(1),성별(1),2013.4,관광통과(B-2)
109,총계,계,2013.4,87908
110,총계,남자,2013.4,41663
111,총계,여자,2013.4,46245
112,총계,제3의성,2013.4,-
113,아시아주계,계,2013.4,-
114,아시아주계,남자,2013.4,26264
115,아시아주계,여자,2013.4,33210
116,북아메리카주계,계,2013.4,-
117,북아메리카주계,남자,2013.4,11233
118,북아메리카주계,여자,2013.4,10027
119,남아메리카주계,계,2013.4,-
120,남아메리카주계,남자,2013.4,152
121,남아메리카주계,여자,2013.4,117
122,유럽주계,계,2013.4,-
123,유럽주계,남자,2013.4,263
124,유럽주계,여자,2013.4,166
125,오세아니아주계,계,2013.4,-
126,오세아니아주계,남자,2013.4,2579
127,오세아니아주계,여자,2013.4,2609
128,오세아니아주계,제3의성,2013.4,-
129,아프리카주계,계,2013.4,-
130,아프리카주계,남자,2013.4,1167
131,아프리카주계,여자,2013.4,107
132,기타계,계,2013.4,-
133,기타계,남자,2013.4,5
134,기타계,여자,2013.4,9
135,국적(지역)별(1),성별(1),2013.5,일시취재(C-1)
136,총계,계,2013.5,27
137,총계,남자,2013.5,20
138,총계,여자,2013.5,7
139,총계,제3의성,2013.5,-
140,아시아주계,계,2013.5,-
141,아시아주계,남자,2013.5,16
142,아시아주계,여자,2013.5,6
143,북아메리카주계,계,2013.5,-
144,북아메리카주계,남자,2013.5,1
145,북아메리카주계,여자,2013.5,1
146,남아메리카주계,계,2013.5,-
147,남아메리카주계,남자,2013.5,0
148,남아메리카주계,여자,2013.5,0
149,유럽주계,계,2013.5,-
150,유럽주계,남자,2013.5,1
151,유럽주계,여자,2013.5,0
152,오세아니아주계,계,2013.5,-
153,오세아니아주계,남자,2013.5,0
154,오세아니아주계,여자,2013.5,0
155,오세아니아주계,제3의성,2013.5,-
156,아프리카주계,계,2013.5,-
157,아프리카주계,남자,2013.5,2
158,아프리카주계,여자,2013.5,0
159,기타계,계,2013.5,-
160,기타계,남자,2013.5,0
161,기타계,여자,2013.5,0
162,국적(지역)별(1),성별(1),2013.6,단기방문(C-3)
163,총계,계,2013.6,131951
164,총계,남자,2013.6,69339
165,총계,여자,2013.6,62612
166,총계,제3의성,2013.6,-
167,아시아주계,계,2013.6,-
168,아시아주계,남자,2013.6,65874
169,아시아주계,여자,2013.6,60425
170,북아메리카주계,계,2013.6,-
171,북아메리카주계,남자,2013.6,228
172,북아메리카주계,여자,2013.6,120
173,남아메리카주계,계,2013.6,-
174,남아메리카주계,남자,2013.6,143
175,남아메리카주계,여자,2013.6,155
176,유럽주계,계,2013.6,-
177,유럽주계,남자,2013.6,1570
178,유럽주계,여자,2013.6,1748
179,오세아니아주계,계,2013.6,-
180,오세아니아주계,남자,2013.6,32
181,오세아니아주계,여자,2013.6,12
182,오세아니아주계,제3의성,2013.6,-
183,아프리카주계,계,2013.6,-
184,아프리카주계,남자,2013.6,1462
185,아프리카주계,여자,2013.6,133
186,기타계,계,2013.6,-
187,기타계,남자,2013.6,30
188,기타계,여자,2013.6,19
189,국적(지역)별(1),성별(1),2013.7,단기취업(C-4)
190,총계,계,2013.7,460
191,총계,남자,2013.7,339
192,총계,여자,2013.7,121
193,총계,제3의성,2013.7,-
194,아시아주계,계,2013.7,-
195,아시아주계,남자,2013.7,242
196,아시아주계,여자,2013.7,27
197,북아메리카주계,계,2013.7,-
198,북아메리카주계,남자,2013.7,27
199,북아메리카주계,여자,2013.7,10
200,남아메리카주계,계,2013.7,-
201,남아메리카주계,남자,2013.7,22
202,남아메리카주계,여자,2013.7,16
203,유럽주계,계,2013.7,-
204,유럽주계,남자,2013.7,35
205,유럽주계,여자,2013.7,60
206,오세아니아주계,계,2013.7,-
207,오세아니아주계,남자,2013.7,7
208,오세아니아주계,여자,2013.7,6
209,오세아니아주계,제3의성,2013.7,-
210,아프리카주계,계,2013.7,-
211,아프리카주계,남자,2013.7,6
212,아프리카주계,여자,2013.7,2
213,기타계,계,2013.7,-
214,기타계,남자,2013.7,0
215,기타계,여자,2013.7,0
216,국적(지역)별(1),성별(1),2013.8,문화예술(D-1)
217,총계,계,2013.8,51
218,총계,남자,2013.8,32
219,총계,여자,2013.8,19
220,총계,제3의성,2013.8,-
221,아시아주계,계,2013.8,-
222,아시아주계,남자,2013.8,24
223,아시아주계,여자,2013.8,13
224,북아메리카주계,계,2013.8,-
225,북아메리카주계,남자,2013.8,2
226,북아메리카주계,여자,2013.8,2
227,남아메리카주계,계,2013.8,-
228,남아메리카주계,남자,2013.8,0
229,남아메리카주계,여자,2013.8,1
230,유럽주계,계,2013.8,-
231,유럽주계,남자,2013.8,5
232,유럽주계,여자,2013.8,3
233,오세아니아주계,계,2013.8,-
234,오세아니아주계,남자,2013.8,1
235,오세아니아주계,여자,2013.8,0
236,오세아니아주계,제3의성,2013.8,-
237,아프리카주계,계,2013.8,-
238,아프리카주계,남자,2013.8,0
239,아프리카주계,여자,2013.8,0
240,기타계,계,2013.8,-
241,기타계,남자,2013.8,0
242,기타계,여자,2013.8,0
243,국적(지역)별(1),성별(1),2013.9,유학(D-2)
244,총계,계,2013.9,60466
245,총계,남자,2013.9,28324
246,총계,여자,2013.9,32142
247,총계,제3의성,2013.9,-
248,아시아주계,계,2013.9,-
249,아시아주계,남자,2013.9,25191
250,아시아주계,여자,2013.9,29907
251,북아메리카주계,계,2013.9,-
252,북아메리카주계,남자,2013.9,534
253,북아메리카주계,여자,2013.9,424
254,남아메리카주계,계,2013.9,-
255,남아메리카주계,남자,2013.9,372
256,남아메리카주계,여자,2013.9,243
257,유럽주계,계,2013.9,-
258,유럽주계,남자,2013.9,1197
259,유럽주계,여자,2013.9,1184
260,오세아니아주계,계,2013.9,-
261,오세아니아주계,남자,2013.9,42
262,오세아니아주계,여자,2013.9,36
263,오세아니아주계,제3의성,2013.9,-
264,아프리카주계,계,2013.9,-
265,아프리카주계,남자,2013.9,988
266,아프리카주계,여자,2013.9,348
267,기타계,계,2013.9,-
268,기타계,남자,2013.9,0
269,기타계,여자,2013.9,0
270,국적(지역)별(1),성별(1),2013.10,기술연수(D-3)
271,총계,계,2013.10,3648
272,총계,남자,2013.10,2378
273,총계,여자,2013.10,1270
274,총계,제3의성,2013.10,-
275,아시아주계,계,2013.10,-
276,아시아주계,남자,2013.10,2376
277,아시아주계,여자,2013.10,1269
278,북아메리카주계,계,2013.10,-
279,북아메리카주계,남자,2013.10,0
280,북아메리카주계,여자,2013.10,0
281,남아메리카주계,계,2013.10,-
282,남아메리카주계,남자,2013.10,0
283,남아메리카주계,여자,2013.10,1
284,유럽주계,계,2013.10,-
285,유럽주계,남자,2013.10,1
286,유럽주계,여자,2013.10,0
287,오세아니아주계,계,2013.10,-
288,오세아니아주계,남자,2013.10,0
289,오세아니아주계,여자,2013.10,0
290,오세아니아주계,제3의성,2013.10,-
291,아프리카주계,계,2013.10,-
292,아프리카주계,남자,2013.10,1
293,아프리카주계,여자,2013.10,0
294,기타계,계,2013.10,-
295,기타계,남자,2013.10,0
296,기타계,여자,2013.10,0
297,국적(지역)별(1),성별(1),2013.11,일반연수(D-4)
298,총계,계,2013.11,23005
299,총계,남자,2013.11,11500
300,총계,여자,2013.11,11505
301,총계,제3의성,2013.11,-
302,아시아주계,계,2013.11,-
303,아시아주계,남자,2013.11,10641
304,아시아주계,여자,2013.11,10585
305,북아메리카주계,계,2013.11,-
306,북아메리카주계,남자,2013.11,121
307,북아메리카주계,여자,2013.11,116
308,남아메리카주계,계,2013.11,-
309,남아메리카주계,남자,2013.11,105
310,남아메리카주계,여자,2013.11,122
311,유럽주계,계,2013.11,-
312,유럽주계,남자,2013.11,279
313,유럽주계,여자,2013.11,540
314,오세아니아주계,계,2013.11,-
315,오세아니아주계,남자,2013.11,12
316,오세아니아주계,여자,2013.11,22
317,오세아니아주계,제3의성,2013.11,-
318,아프리카주계,계,2013.11,-
319,아프리카주계,남자,2013.11,342
320,아프리카주계,여자,2013.11,120
321,기타계,계,2013.11,-
322,기타계,남자,2013.11,0
323,기타계,여자,2013.11,0
324,국적(지역)별(1),성별(1),2013.12,취재(D-5)
325,총계,계,2013.12,88
326,총계,남자,2013.12,76
327,총계,여자,2013.12,12
328,총계,제3의성,2013.12,-
329,아시아주계,계,2013.12,-
330,아시아주계,남자,2013.12,52
331,아시아주계,여자,2013.12,8
332,북아메리카주계,계,2013.12,-
333,북아메리카주계,남자,2013.12,7
334,북아메리카주계,여자,2013.12,1
335,남아메리카주계,계,2013.12,-
336,남아메리카주계,남자,2013.12,0
337,남아메리카주계,여자,2013.12,0
338,유럽주계,계,2013.12,-
339,유럽주계,남자,2013.12,15
340,유럽주계,여자,2013.12,3
341,오세아니아주계,계,2013.12,-
342,오세아니아주계,남자,2013.12,2
343,오세아니아주계,여자,2013.12,0
344,오세아니아주계,제3의성,2013.12,-
345,아프리카주계,계,2013.12,-
346,아프리카주계,남자,2013.12,0
347,아프리카주계,여자,2013.12,0
348,기타계,계,2013.12,-
349,기타계,남자,2013.12,0
350,기타계,여자,2013.12,0
351,국적(지역)별(1),성별(1),2013.13,종교(D-6)
352,총계,계,2013.13,1770
353,총계,남자,2013.13,1066
354,총계,여자,2013.13,704
355,총계,제3의성,2013.13,-
356,아시아주계,계,2013.13,-
357,아시아주계,남자,2013.13,417
358,아시아주계,여자,2013.13,364
359,북아메리카주계,계,2013.13,-
360,북아메리카주계,남자,2013.13,460
361,북아메리카주계,여자,2013.13,221
362,남아메리카주계,계,2013.13,-
363,남아메리카주계,남자,2013.13,22
364,남아메리카주계,여자,2013.13,30
365,유럽주계,계,2013.13,-
366,유럽주계,남자,2013.13,123
367,유럽주계,여자,2013.13,60
368,오세아니아주계,계,2013.13,-
369,오세아니아주계,남자,2013.13,17
370,오세아니아주계,여자,2013.13,12
371,오세아니아주계,제3의성,2013.13,-
372,아프리카주계,계,2013.13,-
373,아프리카주계,남자,2013.13,27
374,아프리카주계,여자,2013.13,17
375,기타계,계,2013.13,-
376,기타계,남자,2013.13,0
377,기타계,여자,2013.13,0
378,국적(지역)별(1),성별(1),2013.14,주재(D-7)
379,총계,계,2013.14,1659
380,총계,남자,2013.14,1516
381,총계,여자,2013.14,143
382,총계,제3의성,2013.14,-
383,아시아주계,계,2013.14,-
384,아시아주계,남자,2013.14,1021
385,아시아주계,여자,2013.14,113
386,북아메리카주계,계,2013.14,-
387,북아메리카주계,남자,2013.14,177
388,북아메리카주계,여자,2013.14,6
389,남아메리카주계,계,2013.14,-
390,남아메리카주계,남자,2013.14,10
391,남아메리카주계,여자,2013.14,1
392,유럽주계,계,2013.14,-
393,유럽주계,남자,2013.14,283
394,유럽주계,여자,2013.14,22
395,오세아니아주계,계,2013.14,-
396,오세아니아주계,남자,2013.14,18
397,오세아니아주계,여자,2013.14,1
398,오세아니아주계,제3의성,2013.14,-
399,아프리카주계,계,2013.14,-
400,아프리카주계,남자,2013.14,7
401,아프리카주계,여자,2013.14,0
402,기타계,계,2013.14,-
403,기타계,남자,2013.14,0
404,기타계,여자,2013.14,0
405,국적(지역)별(1),성별(1),2013.15,기업투자(D-8)
406,총계,계,2013.15,6053
407,총계,남자,2013.15,5533
408,총계,여자,2013.15,520
409,총계,제3의성,2013.15,-
410,아시아주계,계,2013.15,-
411,아시아주계,남자,2013.15,3997
412,아시아주계,여자,2013.15,391
413,북아메리카주계,계,2013.15,-
414,북아메리카주계,남자,2013.15,299
415,북아메리카주계,여자,2013.15,38
416,남아메리카주계,계,2013.15,-
417,남아메리카주계,남자,2013.15,26
418,남아메리카주계,여자,2013.15,4
419,유럽주계,계,2013.15,-
420,유럽주계,남자,2013.15,907
421,유럽주계,여자,2013.15,66
422,오세아니아주계,계,2013.15,-
423,오세아니아주계,남자,2013.15,93
424,오세아니아주계,여자,2013.15,3
425,오세아니아주계,제3의성,2013.15,-
426,아프리카주계,계,2013.15,-
427,아프리카주계,남자,2013.15,211
428,아프리카주계,여자,2013.15,18
429,기타계,계,2013.15,-
430,기타계,남자,2013.15,0
431,기타계,여자,2013.15,0
432,국적(지역)별(1),성별(1),2013.16,무역경영(D-9)
433,총계,계,2013.16,8272
434,총계,남자,2013.16,7896
435,총계,여자,2013.16,376
436,총계,제3의성,2013.16,-
437,아시아주계,계,2013.16,-
438,아시아주계,남자,2013.16,2081
439,아시아주계,여자,2013.16,177
440,북아메리카주계,계,2013.16,-
441,북아메리카주계,남자,2013.16,1411
442,북아메리카주계,여자,2013.16,46
443,남아메리카주계,계,2013.16,-
444,남아메리카주계,남자,2013.16,92
445,남아메리카주계,여자,2013.16,7
446,유럽주계,계,2013.16,-
447,유럽주계,남자,2013.16,3503
448,유럽주계,여자,2013.16,108
449,오세아니아주계,계,2013.16,-
450,오세아니아주계,남자,2013.16,348
451,오세아니아주계,여자,2013.16,14
452,오세아니아주계,제3의성,2013.16,-
453,아프리카주계,계,2013.16,-
454,아프리카주계,남자,2013.16,461
455,아프리카주계,여자,2013.16,24
456,기타계,계,2013.16,-
457,기타계,남자,2013.16,0
458,기타계,여자,2013.16,0
459,국적(지역)별(1),성별(1),2013.17,구직(D-10)
460,총계,계,2013.17,4345
461,총계,남자,2013.17,1722
462,총계,여자,2013.17,2623
463,총계,제3의성,2013.17,-
464,아시아주계,계,2013.17,-
465,아시아주계,남자,2013.17,1440
466,아시아주계,여자,2013.17,2478
467,북아메리카주계,계,2013.17,-
468,북아메리카주계,남자,2013.17,155
469,북아메리카주계,여자,2013.17,88
470,남아메리카주계,계,2013.17,-
471,남아메리카주계,남자,2013.17,10
472,남아메리카주계,여자,2013.17,2
473,유럽주계,계,2013.17,-
474,유럽주계,남자,2013.17,53
475,유럽주계,여자,2013.17,31
476,오세아니아주계,계,2013.17,-
477,오세아니아주계,남자,2013.17,13
478,오세아니아주계,여자,2013.17,7
479,오세아니아주계,제3의성,2013.17,-
480,아프리카주계,계,2013.17,-
481,아프리카주계,남자,2013.17,51
482,아프리카주계,여자,2013.17,17
483,기타계,계,2013.17,-
484,기타계,남자,2013.17,0
485,기타계,여자,2013.17,0
486,국적(지역)별(1),성별(1),2013.18,교수(E-1)
487,총계,계,2013.18,2637
488,총계,남자,2013.18,1885
489,총계,여자,2013.18,752
490,총계,제3의성,2013.18,-
491,아시아주계,계,2013.18,-
492,아시아주계,남자,2013.18,570
493,아시아주계,여자,2013.18,341
494,북아메리카주계,계,2013.18,-
495,북아메리카주계,남자,2013.18,786
496,북아메리카주계,여자,2013.18,253
497,남아메리카주계,계,2013.18,-
498,남아메리카주계,남자,2013.18,14
499,남아메리카주계,여자,2013.18,12
500,유럽주계,계,2013.18,-
501,유럽주계,남자,2013.18,408
502,유럽주계,여자,2013.18,107
503,오세아니아주계,계,2013.18,-
504,오세아니아주계,남자,2013.18,68
505,오세아니아주계,여자,2013.18,25
506,오세아니아주계,제3의성,2013.18,-
507,아프리카주계,계,2013.18,-
508,아프리카주계,남자,2013.18,39
509,아프리카주계,여자,2013.18,14
510,기타계,계,2013.18,-
511,기타계,남자,2013.18,0
512,기타계,여자,2013.18,0
513,국적(지역)별(1),성별(1),2013.19,회화(E-2)
514,총계,계,2013.19,20030
515,총계,남자,2013.19,10509
516,총계,여자,2013.19,9521
517,총계,제3의성,2013.19,-
518,아시아주계,계,2013.19,-
519,아시아주계,남자,2013.19,154
520,아시아주계,여자,2013.19,1087
521,북아메리카주계,계,2013.19,-
522,북아메리카주계,남자,2013.19,7354
523,북아메리카주계,여자,2013.19,6297
524,남아메리카주계,계,2013.19,-
525,남아메리카주계,남자,2013.19,7
526,남아메리카주계,여자,2013.19,5
527,유럽주계,계,2013.19,-
528,유럽주계,남자,2013.19,1968
529,유럽주계,여자,2013.19,962
530,오세아니아주계,계,2013.19,-
531,오세아니아주계,남자,2013.19,444
532,오세아니아주계,여자,2013.19,301
533,오세아니아주계,제3의성,2013.19,-
534,아프리카주계,계,2013.19,-
535,아프리카주계,남자,2013.19,582
536,아프리카주계,여자,2013.19,869
537,기타계,계,2013.19,-
538,기타계,남자,2013.19,0
539,기타계,여자,2013.19,0
540,국적(지역)별(1),성별(1),2013.20,연구(E-3)
541,총계,계,2013.20,2997
542,총계,남자,2013.20,2585
543,총계,여자,2013.20,412
544,총계,제3의성,2013.20,-
545,아시아주계,계,2013.20,-
546,아시아주계,남자,2013.20,2091
547,아시아주계,여자,2013.20,356
548,북아메리카주계,계,2013.20,-
549,북아메리카주계,남자,2013.20,101
550,북아메리카주계,여자,2013.20,12
551,남아메리카주계,계,2013.20,-
552,남아메리카주계,남자,2013.20,11
553,남아메리카주계,여자,2013.20,3
554,유럽주계,계,2013.20,-
555,유럽주계,남자,2013.20,336
556,유럽주계,여자,2013.20,36
557,오세아니아주계,계,2013.20,-
558,오세아니아주계,남자,2013.20,10
559,오세아니아주계,여자,2013.20,1
560,오세아니아주계,제3의성,2013.20,-
561,아프리카주계,계,2013.20,-
562,아프리카주계,남자,2013.20,36
563,아프리카주계,여자,2013.20,4
564,기타계,계,2013.20,-
565,기타계,남자,2013.20,0
566,기타계,여자,2013.20,0
567,국적(지역)별(1),성별(1),2013.21,기술지도(E-4)
568,총계,계,2013.21,222
569,총계,남자,2013.21,220
570,총계,여자,2013.21,2
571,총계,제3의성,2013.21,-
572,아시아주계,계,2013.21,-
573,아시아주계,남자,2013.21,26
574,아시아주계,여자,2013.21,0
575,북아메리카주계,계,2013.21,-
576,북아메리카주계,남자,2013.21,101
577,북아메리카주계,여자,2013.21,0
578,남아메리카주계,계,2013.21,-
579,남아메리카주계,남자,2013.21,2
580,남아메리카주계,여자,2013.21,0
581,유럽주계,계,2013.21,-
582,유럽주계,남자,2013.21,76
583,유럽주계,여자,2013.21,2
584,오세아니아주계,계,2013.21,-
585,오세아니아주계,남자,2013.21,13
586,오세아니아주계,여자,2013.21,0
587,오세아니아주계,제3의성,2013.21,-
588,아프리카주계,계,2013.21,-
589,아프리카주계,남자,2013.21,2
590,아프리카주계,여자,2013.21,0
591,기타계,계,2013.21,-
592,기타계,남자,2013.21,0
593,기타계,여자,2013.21,0
594,국적(지역)별(1),성별(1),2013.22,전문직업(E-5)
595,총계,계,2013.22,667
596,총계,남자,2013.22,659
597,총계,여자,2013.22,8
598,총계,제3의성,2013.22,-
599,아시아주계,계,2013.22,-
600,아시아주계,남자,2013.22,177
601,아시아주계,여자,2013.22,0
602,북아메리카주계,계,2013.22,-
603,북아메리카주계,남자,2013.22,159
604,북아메리카주계,여자,2013.22,2
605,남아메리카주계,계,2013.22,-
606,남아메리카주계,남자,2013.22,72
607,남아메리카주계,여자,2013.22,1
608,유럽주계,계,2013.22,-
609,유럽주계,남자,2013.22,196
610,유럽주계,여자,2013.22,5
611,오세아니아주계,계,2013.22,-
612,오세아니아주계,남자,2013.22,41
613,오세아니아주계,여자,2013.22,0
614,오세아니아주계,제3의성,2013.22,-
615,아프리카주계,계,2013.22,-
616,아프리카주계,남자,2013.22,14
617,아프리카주계,여자,2013.22,0
618,기타계,계,2013.22,-
619,기타계,남자,2013.22,0
620,기타계,여자,2013.22,0
621,국적(지역)별(1),성별(1),2013.23,예술흥행(E-6)
622,총계,계,2013.23,4940
623,총계,남자,2013.23,1110
624,총계,여자,2013.23,3830
625,총계,제3의성,2013.23,-
626,아시아주계,계,2013.23,-
627,아시아주계,남자,2013.23,732
628,아시아주계,여자,2013.23,3559
629,북아메리카주계,계,2013.23,-
630,북아메리카주계,남자,2013.23,84
631,북아메리카주계,여자,2013.23,23
632,남아메리카주계,계,2013.23,-
633,남아메리카주계,남자,2013.23,100
634,남아메리카주계,여자,2013.23,14
635,유럽주계,계,2013.23,-
636,유럽주계,남자,2013.23,162
637,유럽주계,여자,2013.23,224
638,오세아니아주계,계,2013.23,-
639,오세아니아주계,남자,2013.23,17
640,오세아니아주계,여자,2013.23,4
641,오세아니아주계,제3의성,2013.23,-
642,아프리카주계,계,2013.23,-
643,아프리카주계,남자,2013.23,15
644,아프리카주계,여자,2013.23,5
645,기타계,계,2013.23,-
646,기타계,남자,2013.23,0
647,기타계,여자,2013.23,1
648,국적(지역)별(1),성별(1),2013.24,특정활동(E-7)
649,총계,계,2013.24,18213
650,총계,남자,2013.24,13724
651,총계,여자,2013.24,4489
652,총계,제3의성,2013.24,-
653,아시아주계,계,2013.24,-
654,아시아주계,남자,2013.24,11347
655,아시아주계,여자,2013.24,3334
656,북아메리카주계,계,2013.24,-
657,북아메리카주계,남자,2013.24,1142
658,북아메리카주계,여자,2013.24,701
659,남아메리카주계,계,2013.24,-
660,남아메리카주계,남자,2013.24,71
661,남아메리카주계,여자,2013.24,31
662,유럽주계,계,2013.24,-
663,유럽주계,남자,2013.24,913
664,유럽주계,여자,2013.24,316
665,오세아니아주계,계,2013.24,-
666,오세아니아주계,남자,2013.24,134
667,오세아니아주계,여자,2013.24,77
668,오세아니아주계,제3의성,2013.24,-
669,아프리카주계,계,2013.24,-
670,아프리카주계,남자,2013.24,117
671,아프리카주계,여자,2013.24,30
672,기타계,계,2013.24,-
673,기타계,남자,2013.24,0
674,기타계,여자,2013.24,0
675,국적(지역)별(1),성별(1),2013.25,비전문취업(E-9)
676,총계,계,2013.25,246695
677,총계,남자,2013.25,223117
678,총계,여자,2013.25,23578
679,총계,제3의성,2013.25,-
680,아시아주계,계,2013.25,-
681,아시아주계,남자,2013.25,222925
682,아시아주계,여자,2013.25,23539
683,북아메리카주계,계,2013.25,-
684,북아메리카주계,남자,2013.25,0
685,북아메리카주계,여자,2013.25,0
686,남아메리카주계,계,2013.25,-
687,남아메리카주계,남자,2013.25,28
688,남아메리카주계,여자,2013.25,11
689,유럽주계,계,2013.25,-
690,유럽주계,남자,2013.25,48
691,유럽주계,여자,2013.25,22
692,오세아니아주계,계,2013.25,-
693,오세아니아주계,남자,2013.25,1
694,오세아니아주계,여자,2013.25,1
695,오세아니아주계,제3의성,2013.25,-
696,아프리카주계,계,2013.25,-
697,아프리카주계,남자,2013.25,115
698,아프리카주계,여자,2013.25,5
699,기타계,계,2013.25,-
700,기타계,남자,2013.25,0
701,기타계,여자,2013.25,0
702,국적(지역)별(1),성별(1),2013.26,선원취업(E-10)
703,총계,계,2013.26,12163
704,총계,남자,2013.26,12158
705,총계,여자,2013.26,5
706,총계,제3의성,2013.26,-
707,아시아주계,계,2013.26,-
708,아시아주계,남자,2013.26,12158
709,아시아주계,여자,2013.26,5
710,북아메리카주계,계,2013.26,-
711,북아메리카주계,남자,2013.26,0
712,북아메리카주계,여자,2013.26,0
713,남아메리카주계,계,2013.26,-
714,남아메리카주계,남자,2013.26,0
715,남아메리카주계,여자,2013.26,0
716,유럽주계,계,2013.26,-
717,유럽주계,남자,2013.26,0
718,유럽주계,여자,2013.26,0
719,오세아니아주계,계,2013.26,-
720,오세아니아주계,남자,2013.26,0
721,오세아니아주계,여자,2013.26,0
722,오세아니아주계,제3의성,2013.26,-
723,아프리카주계,계,2013.26,-
724,아프리카주계,남자,2013.26,0
725,아프리카주계,여자,2013.26,0
726,기타계,계,2013.26,-
727,기타계,남자,2013.26,0
728,기타계,여자,2013.26,0
729,국적(지역)별(1),성별(1),2013.27,방문동거(F-1)
730,총계,계,2013.27,60927
731,총계,남자,2013.27,23541
732,총계,여자,2013.27,37386
733,총계,제3의성,2013.27,-
734,아시아주계,계,2013.27,-
735,아시아주계,남자,2013.27,21798
736,아시아주계,여자,2013.27,36080
737,북아메리카주계,계,2013.27,-
738,북아메리카주계,남자,2013.27,1253
739,북아메리카주계,여자,2013.27,572
740,남아메리카주계,계,2013.27,-
741,남아메리카주계,남자,2013.27,79
742,남아메리카주계,여자,2013.27,96
743,유럽주계,계,2013.27,-
744,유럽주계,남자,2013.27,288
745,유럽주계,여자,2013.27,484
746,오세아니아주계,계,2013.27,-
747,오세아니아주계,남자,2013.27,54
748,오세아니아주계,여자,2013.27,48
